model,model_type,sample_id,id,language,label,gold_label,question,prompt_id,prompt_variant,raw_output,prediction,predicted_label,is_correct
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,111,111,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار ATM؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,112,112,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار FAQ؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,113,113,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار HTTP؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,114,114,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SQL؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,115,115,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار LAN؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,116,116,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار VPN؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,117,117,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار API؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,118,118,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار SMS؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,119,119,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار CEO؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,1,1,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,2,2,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,4,4,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,6,6,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,120,120,Arabic,ABBREVIATION,ABBREVIATION,ماذا يعني اختصار NGO؟,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
