model,experiment_id,language,sample_id,text,gold,majority_prediction,is_correct_majority,prompt_sensitivity,prediction_counts,prediction_distribution,raw_outputs
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,26,Which ocean is west of the United States?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,27,Which city is famous for Big Ben?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,28,In which country is the Taj Mahal located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,29,Where is Lake Victoria located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,30,Which region is known as the Middle East?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,41,Who wrote Pride and Prejudice?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,42,Who created the character Sherlock Holmes?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,43,Who discovered penicillin?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,44,Who painted The Starry Night?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,45,Who was the first woman to win a Nobel Prize?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,46,Who led India’s independence movement through nonviolent resistance?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,47,Who is the author of The Lord of the Rings?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,48,Who invented the World Wide Web?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,49,Who was Cleopatra?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,50,Who composed Moonlight Sonata?,PERSON,PERSON,True,-0.0,"{""PERSON"": 8}","{""PERSON"": 1.0}","[""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON"", ""PERSON""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,61,What is gravity?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,62,What does recycling mean?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,63,What is the purpose of an operating system?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,64,How does the internet work?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,65,What is evaporation?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,66,What does cultural diversity mean?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,67,What is the role of the lungs?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,68,What is blockchain?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,69,What does supply and demand mean?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,70,What is the function of a search engine?,DESCRIPTION,DESCRIPTION,True,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,81,What fruit is commonly used to make orange juice?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,82,What tool is used to cut paper?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,83,What vehicle runs on railway tracks?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,84,What object is used to unlock a door?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,85,What food is made from milk and often used on pizza?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,86,What machine is used to wash clothes?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,87,What material is commonly used to make windows?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,88,What app is commonly used for video meetings?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,89,What natural satellite orbits Earth?,ENTITY,ENTITY,True,-0.0,"{""ENTITY"": 8}","{""ENTITY"": 1.0}","[""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,90,What sport uses a racket and a shuttlecock?,ENTITY,ENTITY,True,0.28898309867585964,"{""DESCRIPTION"": 2, ""ENTITY"": 6}","{""DESCRIPTION"": 0.25, ""ENTITY"": 0.75}","[""DESCRIPTION"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""ENTITY"", ""DESCRIPTION"", ""ENTITY""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,101,What does ATM stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,102,What does FAQ stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,103,What does HTTP stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,104,What does SQL stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,105,What does LAN stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,106,What does VPN stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,107,What does API stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,108,What does SMS stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,109,What does CEO stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,110,What does NGO stand for?,ABBREVIATION,ABBREVIATION,True,-0.0,"{""ABBREVIATION"": 8}","{""ABBREVIATION"": 1.0}","[""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION"", ""ABBREVIATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,11,كم عجلة في الدراجة العادية؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,12,في أي سنة غرقت سفينة تيتانيك؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,13,كم ساعة في اليوم الكامل؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,14,ما ناتج قسمة 12 على 3؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,15,كم درجة في الزاوية القائمة؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,16,ما قيمة 20% من 200؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,17,كم حرفًا في الأبجدية العربية؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,18,ما قيمة 7 تربيع؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,19,كم شهرًا يحتوي على 31 يومًا؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,20,كم غرامًا في الكيلوغرام الواحد؟,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,31,أين يقع تمثال الحرية؟,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,32,في أي دولة تقع لشبونة؟,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,33,ما عاصمة أستراليا؟,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,34,في أي قارة تقع الأرجنتين؟,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,arabic,35,أين تقع أهرامات الجيزة؟,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
